symbol,name,sector,sub_industry,sector_etf
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,XLF
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,XLB
IP,International Paper,Materials,Paper & Plastic Packaging Products & Materials,XLB
INTU,Intuit,Information Technology,Application Software,XLK
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,XLV
IVZ,Invesco,Financials,Asset Management & Custody Banks,XLF
INVH,Invitation Homes,Real Estate,Single-Family Residential REITs,XLRE
IQV,IQVIA,Health Care,Life Sciences Tools & Services,XLV
IRM,Iron Mountain,Real Estate,Other Specialized REITs,XLRE
JBHT,J.B. Hunt,Industrials,Cargo Ground Transportation,XLI
JBL,Jabil,Information Technology,Electronic Manufacturing Services,XLK
JKHY,Jack Henry & Associates,Financials,Transaction & Payment Processing Services,XLF
J,Jacobs Solutions,Industrials,Construction & Engineering,XLI
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,XLV
JCI,Johnson Controls,Industrials,Building Products,XLI
JPM,JPMorgan Chase,Financials,Diversified Banks,XLF
KVUE,Kenvue,Consumer Staples,Personal Care Products,XLP
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,XLP
KEY,KeyCorp,Financials,Regional Banks,XLF
KEYS,Keysight Technologies,Information Technology,Electronic Equipment & Instruments,XLK
KMB,Kimberly-Clark,Consumer Staples,Household Products,XLP
KIM,Kimco Realty,Real Estate,Retail REITs,XLRE
KMI,Kinder Morgan,Energy,Oil & Gas Storage & Transportation,XLE
KKR,KKR & Co.,Financials,Asset Management & Custody Banks,XLF
KLAC,KLA Corporation,Information Technology,Semiconductor Materials & Equipment,XLK
KHC,Kraft Heinz,Consumer Staples,Packaged Foods & Meats,XLP
KR,Kroger,Consumer Staples,Food Retail,XLP
LHX,L3Harris,Industrials,Aerospace & Defense,XLI
LH,Labcorp,Health Care,Health Care Services,XLV
LRCX,Lam Research,Information Technology,Semiconductor Materials & Equipment,XLK
LVS,Las Vegas Sands,Consumer Discretionary,Casinos & Gaming,XLY
LDOS,Leidos,Industrials,Diversified Support Services,XLI
LEN,Lennar,Consumer Discretionary,Homebuilding,XLY
LII,Lennox International,Industrials,Building Products,XLI
LLY,Lilly (Eli),Health Care,Pharmaceuticals,XLV
LIN,Linde plc,Materials,Industrial Gases,XLB
LYV,Live Nation Entertainment,Communication Services,Movies & Entertainment,XLC
LMT,Lockheed Martin,Industrials,Aerospace & Defense,XLI
L,Loews Corporation,Financials,Multi-line Insurance,XLF
LOW,Lowe's,Consumer Discretionary,Home Improvement Retail,XLY
LULU,Lululemon Athletica,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",XLY
LITE,Lumentum,Information Technology,Communications Equipment,XLK
LYB,LyondellBasell,Materials,Specialty Chemicals,XLB
MTB,M&T Bank,Financials,Regional Banks,XLF
MPC,Marathon Petroleum,Energy,Oil & Gas Refining & Marketing,XLE
MAR,Marriott International,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",XLY
MRSH,Marsh McLennan,Financials,Insurance Brokers,XLF
MLM,Martin Marietta Materials,Materials,Construction Materials,XLB
MAS,Masco,Industrials,Building Products,XLI
MA,Mastercard,Financials,Transaction & Payment Processing Services,XLF
MKC,McCormick & Company,Consumer Staples,Packaged Foods & Meats,XLP
MCD,McDonald's,Consumer Discretionary,Restaurants,XLY
MCK,McKesson Corporation,Health Care,Health Care Distributors,XLV
MDT,Medtronic,Health Care,Health Care Equipment,XLV
MRK,Merck & Co.,Health Care,Pharmaceuticals,XLV
META,Meta Platforms,Communication Services,Interactive Media & Services,XLC
MET,MetLife,Financials,Life & Health Insurance,XLF
MTD,Mettler Toledo,Health Care,Life Sciences Tools & Services,XLV
MGM,MGM Resorts,Consumer Discretionary,Casinos & Gaming,XLY
MCHP,Microchip Technology,Information Technology,Semiconductors,XLK
MU,Micron Technology,Information Technology,Semiconductors,XLK
MSFT,Microsoft,Information Technology,Systems Software,XLK
MAA,Mid-America Apartment Communities,Real Estate,Multi-Family Residential REITs,XLRE
MRNA,Moderna,Health Care,Biotechnology,XLV
TAP,Molson Coors Beverage Company,Consumer Staples,Brewers,XLP
MDLZ,Mondelez International,Consumer Staples,Packaged Foods & Meats,XLP
MPWR,Monolithic Power Systems,Information Technology,Semiconductors,XLK
MNST,Monster Beverage,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,XLP
MCO,Moody's Corporation,Financials,Financial Exchanges & Data,XLF
MS,Morgan Stanley,Financials,Investment Banking & Brokerage,XLF
MOS,Mosaic Company (The),Materials,Fertilizers & Agricultural Chemicals,XLB
MSI,Motorola Solutions,Information Technology,Communications Equipment,XLK
MSCI,MSCI Inc.,Financials,Financial Exchanges & Data,XLF
NDAQ,"Nasdaq, Inc.",Financials,Financial Exchanges & Data,XLF
NTAP,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",XLK
NFLX,Netflix,Communication Services,Movies & Entertainment,XLC
NEM,Newmont,Materials,Gold,XLB
NWSA,News Corp (Class A),Communication Services,Publishing,XLC
NWS,News Corp (Class B),Communication Services,Publishing,XLC
NEE,NextEra Energy,Utilities,Multi-Utilities,XLU
NKE,"Nike, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",XLY
NI,NiSource,Utilities,Multi-Utilities,XLU
NDSN,Nordson Corporation,Industrials,Industrial Machinery & Supplies & Components,XLI
NSC,Norfolk Southern,Industrials,Rail Transportation,XLI
NTRS,Northern Trust,Financials,Asset Management & Custody Banks,XLF
NOC,Northrop Grumman,Industrials,Aerospace & Defense,XLI
NCLH,Norwegian Cruise Line Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",XLY
NRG,NRG Energy,Utilities,Independent Power Producers & Energy Traders,XLU
NUE,Nucor,Materials,Steel,XLB
NVDA,Nvidia,Information Technology,Semiconductors,XLK
NVR,"NVR, Inc.",Consumer Discretionary,Homebuilding,XLY
NXPI,NXP Semiconductors,Information Technology,Semiconductors,XLK
ORLY,O’Reilly Automotive,Consumer Discretionary,Automotive Retail,XLY
OXY,Occidental Petroleum,Energy,Oil & Gas Exploration & Production,XLE
ODFL,Old Dominion,Industrials,Cargo Ground Transportation,XLI
OMC,Omnicom Group,Communication Services,Advertising,XLC
ON,ON Semiconductor,Information Technology,Semiconductors,XLK
OKE,Oneok,Energy,Oil & Gas Storage & Transportation,XLE
ORCL,Oracle Corporation,Information Technology,Application Software,XLK
OTIS,Otis Worldwide,Industrials,Industrial Machinery & Supplies & Components,XLI
PCAR,Paccar,Industrials,Construction Machinery & Heavy Transportation Equipment,XLI
PKG,Packaging Corporation of America,Materials,Paper & Plastic Packaging Products & Materials,XLB
PLTR,Palantir Technologies,Information Technology,Application Software,XLK
PANW,Palo Alto Networks,Information Technology,Systems Software,XLK
PSKY,Paramount Skydance Corporation,Communication Services,Movies & Entertainment,XLC
PH,Parker Hannifin,Industrials,Industrial Machinery & Supplies & Components,XLI
PAYX,Paychex,Industrials,Human Resource & Employment Services,XLI
PYPL,PayPal,Financials,Transaction & Payment Processing Services,XLF
PNR,Pentair,Industrials,Industrial Machinery & Supplies & Components,XLI
PEP,PepsiCo,Consumer Staples,Soft Drinks & Non-alcoholic Beverages,XLP
PFE,Pfizer,Health Care,Pharmaceuticals,XLV
PCG,PG&E Corporation,Utilities,Multi-Utilities,XLU
PM,Philip Morris International,Consumer Staples,Tobacco,XLP
PSX,Phillips 66,Energy,Oil & Gas Refining & Marketing,XLE
PNW,Pinnacle West Capital,Utilities,Multi-Utilities,XLU
PNC,PNC Financial Services,Financials,Diversified Banks,XLF
POOL,Pool Corporation,Consumer Discretionary,Distributors,XLY
PPG,PPG Industries,Materials,Specialty Chemicals,XLB
PPL,PPL Corporation,Utilities,Electric Utilities,XLU
PFG,Principal Financial Group,Financials,Life & Health Insurance,XLF
PG,Procter & Gamble,Consumer Staples,Personal Care Products,XLP
PGR,Progressive Corporation,Financials,Property & Casualty Insurance,XLF
PLD,Prologis,Real Estate,Industrial REITs,XLRE
PRU,Prudential Financial,Financials,Life & Health Insurance,XLF
PEG,Public Service Enterprise Group,Utilities,Electric Utilities,XLU
PTC,PTC Inc.,Information Technology,Application Software,XLK
PSA,Public Storage,Real Estate,Self-Storage REITs,XLRE
PHM,PulteGroup,Consumer Discretionary,Homebuilding,XLY
PWR,Quanta Services,Industrials,Construction & Engineering,XLI
QCOM,Qualcomm,Information Technology,Semiconductors,XLK
DGX,Quest Diagnostics,Health Care,Health Care Services,XLV
Q,Qnity Electronics,Information Technology,Semiconductor Materials & Equipment,XLK
RL,Ralph Lauren Corporation,Consumer Discretionary,"Apparel, Accessories & Luxury Goods",XLY
RJF,Raymond James Financial,Financials,Investment Banking & Brokerage,XLF
RTX,RTX Corporation,Industrials,Aerospace & Defense,XLI
O,Realty Income,Real Estate,Retail REITs,XLRE
REG,Regency Centers,Real Estate,Retail REITs,XLRE
REGN,Regeneron Pharmaceuticals,Health Care,Biotechnology,XLV
RF,Regions Financial Corporation,Financials,Regional Banks,XLF
RSG,Republic Services,Industrials,Environmental & Facilities Services,XLI
RMD,ResMed,Health Care,Health Care Equipment,XLV
RVTY,Revvity,Health Care,Health Care Equipment,XLV
HOOD,Robinhood Markets,Financials,Investment Banking & Brokerage,XLF
ROK,Rockwell Automation,Industrials,Electrical Components & Equipment,XLI
ROL,"Rollins, Inc.",Industrials,Environmental & Facilities Services,XLI
ROP,Roper Technologies,Information Technology,Electronic Equipment & Instruments,XLK
ROST,Ross Stores,Consumer Discretionary,Apparel Retail,XLY
RCL,Royal Caribbean Group,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",XLY
SPGI,S&P Global,Financials,Financial Exchanges & Data,XLF
CRM,Salesforce,Information Technology,Application Software,XLK
SNDK,Sandisk,Information Technology,"Technology Hardware, Storage & Peripherals",XLK
SBAC,SBA Communications,Real Estate,Telecom Tower REITs,XLRE
SLB,Schlumberger,Energy,Oil & Gas Equipment & Services,XLE
STX,Seagate Technology,Information Technology,"Technology Hardware, Storage & Peripherals",XLK
SRE,Sempra,Utilities,Multi-Utilities,XLU
NOW,ServiceNow,Information Technology,Systems Software,XLK
SHW,Sherwin-Williams,Materials,Specialty Chemicals,XLB
SPG,Simon Property Group,Real Estate,Retail REITs,XLRE
SWKS,Skyworks Solutions,Information Technology,Semiconductors,XLK
SJM,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,XLP
SW,Smurfit Westrock,Materials,Paper & Plastic Packaging Products & Materials,XLB
SNA,Snap-on,Industrials,Industrial Machinery & Supplies & Components,XLI
SOLV,Solventum,Health Care,Health Care Technology,XLV
SO,Southern Company,Utilities,Electric Utilities,XLU
LUV,Southwest Airlines,Industrials,Passenger Airlines,XLI
SWK,Stanley Black & Decker,Industrials,Industrial Machinery & Supplies & Components,XLI
SBUX,Starbucks,Consumer Discretionary,Restaurants,XLY
STT,State Street Corporation,Financials,Asset Management & Custody Banks,XLF
STLD,Steel Dynamics,Materials,Steel,XLB
STE,Steris,Health Care,Health Care Equipment,XLV
SYK,Stryker Corporation,Health Care,Health Care Equipment,XLV
SMCI,Supermicro,Information Technology,"Technology Hardware, Storage & Peripherals",XLK
SYF,Synchrony Financial,Financials,Consumer Finance,XLF
SNPS,Synopsys,Information Technology,Application Software,XLK
SYY,Sysco,Consumer Staples,Food Distributors,XLP
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,XLC
TROW,T. Rowe Price,Financials,Asset Management & Custody Banks,XLF
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,XLC
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods",XLY
TRGP,Targa Resources,Energy,Oil & Gas Storage & Transportation,XLE
TGT,Target Corporation,Consumer Staples,Consumer Staples Merchandise Retail,XLP
TEL,TE Connectivity,Information Technology,Electronic Manufacturing Services,XLK
TDY,Teledyne Technologies,Information Technology,Electronic Equipment & Instruments,XLK
TER,Teradyne,Information Technology,Semiconductor Materials & Equipment,XLK
TSLA,"Tesla, Inc.",Consumer Discretionary,Automobile Manufacturers,XLY
TXN,Texas Instruments,Information Technology,Semiconductors,XLK
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas Exploration & Production,XLE
TXT,Textron,Industrials,Aerospace & Defense,XLI
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,XLV
TJX,TJX Companies,Consumer Discretionary,Apparel Retail,XLY
TKO,TKO Group Holdings,Communication Services,Movies & Entertainment,XLC
TTD,Trade Desk (The),Communication Services,Advertising,XLC
TSCO,Tractor Supply,Consumer Discretionary,Other Specialty Retail,XLY
TT,Trane Technologies,Industrials,Building Products,XLI
TDG,TransDigm Group,Industrials,Aerospace & Defense,XLI
TRV,Travelers Companies (The),Financials,Property & Casualty Insurance,XLF
TRMB,Trimble Inc.,Information Technology,Application Software,XLK
TFC,Truist Financial,Financials,Diversified Banks,XLF
TYL,Tyler Technologies,Information Technology,Application Software,XLK
TSN,Tyson Foods,Consumer Staples,Packaged Foods & Meats,XLP
USB,U.S. Bancorp,Financials,Diversified Banks,XLF
UBER,Uber,Industrials,Passenger Ground Transportation,XLI
UDR,"UDR, Inc.",Real Estate,Multi-Family Residential REITs,XLRE
ULTA,Ulta Beauty,Consumer Discretionary,Other Specialty Retail,XLY
UNP,Union Pacific Corporation,Industrials,Rail Transportation,XLI
UAL,United Airlines Holdings,Industrials,Passenger Airlines,XLI
UPS,United Parcel Service,Industrials,Air Freight & Logistics,XLI
URI,United Rentals,Industrials,Trading Companies & Distributors,XLI
UNH,UnitedHealth Group,Health Care,Managed Health Care,XLV
UHS,Universal Health Services,Health Care,Health Care Facilities,XLV
VLO,Valero Energy,Energy,Oil & Gas Refining & Marketing,XLE
VEEV,Veeva Systems,Health Care,Health Care Technology,XLV
VTR,Ventas,Real Estate,Health Care REITs,XLRE
VLTO,Veralto,Industrials,Environmental & Facilities Services,XLI
VRSN,Verisign,Information Technology,Internet Services & Infrastructure,XLK
VRSK,Verisk Analytics,Industrials,Research & Consulting Services,XLI
VZ,Verizon,Communication Services,Integrated Telecommunication Services,XLC
VRTX,Vertex Pharmaceuticals,Health Care,Biotechnology,XLV
VRT,Vertiv,Industrials,Electrical Components & Equipment,XLI
VTRS,Viatris,Health Care,Pharmaceuticals,XLV
VICI,Vici Properties,Real Estate,Hotel & Resort REITs,XLRE
V,Visa Inc.,Financials,Transaction & Payment Processing Services,XLF
VST,Vistra Corp.,Utilities,Electric Utilities,XLU
VMC,Vulcan Materials Company,Materials,Construction Materials,XLB
WRB,W. R. Berkley Corporation,Financials,Property & Casualty Insurance,XLF
GWW,W. W. Grainger,Industrials,Industrial Machinery & Supplies & Components,XLI
WAB,Wabtec,Industrials,Construction Machinery & Heavy Transportation Equipment,XLI
WMT,Walmart,Consumer Staples,Consumer Staples Merchandise Retail,XLP
DIS,Walt Disney Company (The),Communication Services,Movies & Entertainment,XLC
WBD,Warner Bros. Discovery,Communication Services,Broadcasting,XLC
WM,Waste Management,Industrials,Environmental & Facilities Services,XLI
WAT,Waters Corporation,Health Care,Life Sciences Tools & Services,XLV
WEC,WEC Energy Group,Utilities,Electric Utilities,XLU
WFC,Wells Fargo,Financials,Diversified Banks,XLF
WELL,Welltower,Real Estate,Health Care REITs,XLRE
WST,West Pharmaceutical Services,Health Care,Health Care Supplies,XLV
WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",XLK
WY,Weyerhaeuser,Real Estate,Timber REITs,XLRE
WSM,"Williams-Sonoma, Inc.",Consumer Discretionary,Homefurnishing Retail,XLY
WMB,Williams Companies,Energy,Oil & Gas Storage & Transportation,XLE
WTW,Willis Towers Watson,Financials,Insurance Brokers,XLF
WDAY,"Workday, Inc.",Information Technology,Application Software,XLK
WYNN,Wynn Resorts,Consumer Discretionary,Casinos & Gaming,XLY
XEL,Xcel Energy,Utilities,Multi-Utilities,XLU
XYL,Xylem Inc.,Industrials,Industrial Machinery & Supplies & Components,XLI
YUM,Yum! Brands,Consumer Discretionary,Restaurants,XLY
ZBRA,Zebra Technologies,Information Technology,Electronic Equipment & Instruments,XLK
ZBH,Zimmer Biomet,Health Care,Health Care Equipment,XLV
ZTS,Zoetis,Health Care,Pharmaceuticals,XLV
